num_topics,passes,iterations,alpha,eta,coherence,perplexity
5,1,10,[1.3354019 1.1476257 1.0236635 0.89601   0.70821  ],"[ 7.9860125  11.133866    8.12377    ...  0.48619232  0.7262142
  0.563045  ]",0.7148211480194403,-10.840063325914517
5,1,15,[0.93493974 0.73387146 0.58839244 0.5818049  0.451949  ],[6.6052947  9.282084   6.3477488  ... 0.33742714 0.4383066  0.34957722],0.7115566199972925,-10.934982017493281
5,1,20,[0.8112815  0.59061545 0.44082016 0.4884923  0.35170883],[5.9402595  8.364961   5.4586926  ... 0.25609824 0.3437744  0.28189996],0.7118551914355298,-10.977775587469765
5,3,10,[0.5814653  0.5575618  0.43035784 0.43034193 0.3447655 ],[4.03462    5.4486237  1.9492176  ... 0.21467294 0.17173617 0.16654089],0.7085124231703382,-11.175069755447248
5,3,15,[0.5066158  0.42054656 0.2648539  0.33843476 0.2547438 ],[3.7537742  5.2154803  1.5675976  ... 0.1947053  0.16732329 0.16325772],0.709947614657567,-11.175896646821403
5,3,20,[0.4906281  0.35423064 0.2059008  0.30269146 0.2159564 ],[3.6080651  5.1468177  1.4594955  ... 0.17157763 0.16622566 0.16219118],0.705616569699301,-11.180587945535791
5,5,10,[0.540886   0.5249109  0.418207   0.43364367 0.32171306],[2.9068398  3.7316988  0.53852403 ... 0.18755749 0.15786247 0.15576982],0.7058898506441907,-11.208045561500716
5,5,15,[0.49248606 0.4078043  0.26645285 0.35383776 0.24121523],[2.8391953  3.8865044  0.49218437 ... 0.18627985 0.15776399 0.15567891],0.7059816360797766,-11.20827894559707
5,5,20,[0.48524597 0.34561613 0.21054459 0.31827745 0.20882621],[2.7901142  4.005352   0.47037128 ... 0.1543089  0.15771785 0.15563373],0.7045045421254195,-11.212464300038409
10,1,10,"[0.83924586 0.6919772  0.6871233  0.8005215  0.6189905  0.6095548
 0.949823   1.0029097  0.9482039  1.181134  ]",[3.7869635  5.0919724  3.8295515  ... 0.1611519  0.22879817 0.17793389],0.7023577001994096,-12.034175072868237
10,1,15,"[0.4059594  0.251778   0.3034842  0.45377648 0.31180838 0.1736375
 0.6492088  0.5988336  0.57204777 0.6670388 ]",[3.0101674  3.9028575  2.9354095  ... 0.13222192 0.17721418 0.14621723],0.6924202922761534,-12.092865206024925
10,1,20,"[0.235861   0.13997057 0.17156203 0.31254804 0.20982815 0.09895256
 0.49421123 0.41019943 0.4325049  0.44824293]",[2.6050985  3.2853923  2.5123103  ... 0.12742405 0.16454485 0.13578825],0.6835703081109876,-12.106625372398574
10,3,10,"[0.36855516 0.25652656 0.43937525 0.53569734 0.49304366 0.16551767
 0.52703756 0.6376077  0.5232296  0.66392833]",[1.9848951  2.3517652  1.2710577  ... 0.10325879 0.10922422 0.10000473],0.6799193138831614,-12.241155363483722
10,3,15,"[0.22644036 0.10295887 0.24367028 0.43022776 0.3347979  0.06340763
 0.53543067 0.4880416  0.42573866 0.45601773]",[1.3822235  1.3965386  0.73644507 ... 0.09185356 0.09853207 0.09062474],0.64272794666995,-12.22741767264125
10,3,20,"[0.17088297 0.07776443 0.15836398 0.37192422 0.2582715  0.04879119
 0.49883518 0.39379317 0.4129356  0.37577325]",[0.90251094 0.92268026 0.6102949  ... 0.08837648 0.09802633 0.08832006],0.6422163665829832,-12.221491164733083
10,5,10,"[0.31286815 0.21920678 0.45946005 0.56703603 0.4564071  0.11641293
 0.5170474  0.62078655 0.49582905 0.6063749 ]",[1.3747036  1.3308504  0.30621946 ... 0.0927474  0.08766927 0.08486396],0.6773752431396083,-12.228940080148835
